"Austen_Northanger.txt"	"Austen_Persuasion.txt"	"Austen_Pride.txt"	"Austen_Sense.txt"	"CBronte_Jane.txt"	"Dickens_Hard.txt"	"EEE_Adam.txt"
"me"	0.2794271742927	0.225641518039319	0.367200078861762	0.37124677040394	1.09767958871752	0.500707731119948	0.404468145237886
"is"	0.680456915175742	0.477687894572601	0.706469950382808	0.635467444835573	0.731608255576576	0.46893204818349	0.449409050264317
"at"	0.663639538945162	0.639717708058283	0.64732362895541	0.701522613443481	0.626329346629472	0.654771648387625	0.675503500294201
"him"	0.363514055445596	0.560503132576394	0.627608188479611	0.536802762611102	0.384775707826979	0.57870258923671	0.535121085624007
"so"	0.611893765927996	0.430879281787849	0.483849768343574	0.53847504536067	0.337213155053922	0.522854419227177	0.349797765927381
"said"	0.23285597857725	0.207638205429799	0.329412151283147	0.331948125789108	0.31156144119879	0.700027924085005	0.562456275279259
"which"	0.428196271717054	0.499291869704026	0.442775934018993	0.495831835246703	0.318508780367888	0.28790694539397	0.328948892461511
"this"	0.375156854374458	0.300055210158669	0.368021555548254	0.364557639405671	0.358055172561217	0.485301339393181	0.363697014904628
"on"	0.529100529100529	0.475287452891332	0.588177307528012	0.581954396849419	0.607090561238123	0.513225424397947	0.745926361778919
"all"	0.448894580923921	0.636117045536379	0.512601452370782	0.548508741858073	0.339350797875183	0.412120978691034	0.388715663063672
"by"	0.610600121602567	0.498091648863391	0.52163769592219	0.623761465588602	0.339885208580498	0.446785360076262	0.395201979253054
"would"	0.399736096557612	0.42607839842531	0.386915519337561	0.430612808013579	0.355917529739956	0.274426352633049	0.338215058446342
"mr"	0.206983092068667	0.307256535202477	0.645680675582427	0.148833164711489	0.290719423691495	0.628773362348704	0.238603774109406
"if"	0.265197086712979	0.242444609808205	0.286695363585581	0.244989422811609	0.287512959459604	0.419824174554418	0.475354315021845
"will"	0.284601751594417	0.189634892820279	0.334341011402096	0.297666329422979	0.328128173063563	0.223392680038131	0.154281663647441
"from"	0.377744143025317	0.35406514798723	0.404988006440377	0.452352483757954	0.38584452923761	0.33316322109135	0.346091299533449
"your"	0.274252596990983	0.1488273842387	0.373771892353695	0.321914429291705	0.362864868909054	0.337977718505965	0.236750540912439
"what"	0.344109390564158	0.234043063923762	0.392665856143003	0.37124677040394	0.38584452923761	0.42367577248611	0.326169042666061
"no"	0.446307292273062	0.427278619265945	0.401702099694411	0.474928300877112	0.40722095745022	0.39767748644719	0.437826342783278
"or"	0.316942859730146	0.328860510333901	0.245621529261	0.297666329422979	0.340419619285814	0.33316322109135	0.19829595207539
"been"	0.371275921398171	0.5953095369548	0.423881970229685	0.368738346279589	0.210023407188893	0.324497125745043	0.323852501169853
"when"	0.230268689926392	0.273650351664706	0.306410804061381	0.255859260683796	0.306217334145638	0.344718014886426	0.384545888370498
"were"	0.4036170295339	0.511294078110372	0.464134327867775	0.368738346279589	0.332403458706085	0.360124406613194	0.252503023086653
"an"	0.340228457587871	0.294054105955496	0.289981270331548	0.287632632925575	0.315302316135997	0.301387538154892	0.439216267681003
"very"	0.490291199337654	0.52089584483545	0.400059146321427	0.418070687391824	0.201472835903849	0.253242564008743	0.163084521333031
"one"	0.26390344238755	0.276050793345976	0.219334275293267	0.268401381305551	0.309958209082844	0.280203749530587	0.264549038866933
"who"	0.159118252027787	0.228041959720589	0.233299378963625	0.224922029816801	0.152307051014846	0.209912087277209	0.2251678334314
"they"	0.494172132313942	0.52089584483545	0.493707488581474	0.433957373512714	0.272549459710777	0.361087306096117	0.329875509059994
"there"	0.270371664014696	0.342062939580883	0.289159793645056	0.199837788573292	0.270946227594831	0.322571326779198	0.349797765927381
"are"	0.293657261872421	0.175232242732663	0.278480596720665	0.195657081699374	0.325990530242302	0.210874986760132	0.1894930943898
"do"	0.324704725682721	0.252046376533282	0.284230933526107	0.272582088179469	0.249035388676906	0.295610141257354	0.21312181765112
"could"	0.470886534456217	0.541299599126239	0.432096737094601	0.483289714624949	0.269877406184201	0.19065409761875	0.256209489480585
"more"	0.256141576434975	0.327660289493267	0.267801399796274	0.340309539536945	0.19345667532412	0.222429780555208	0.261769189071484
"we"	0.208276736394096	0.186034230298375	0.207833601682384	0.179770395578484	0.164598497237097	0.123251133814141	0.217754900643535
"should"	0.192753004488946	0.225641518039319	0.202904741563434	0.197329364448941	0.153910283130792	0.129028530711679	0.173740612215587
"them"	0.291069973221562	0.324059626971363	0.355699405250879	0.391314163398747	0.213229871420784	0.186802499687058	0.228410991526091
"any"	0.221213179648387	0.240044168126935	0.22097722866625	0.326095136165623	0.111157426705572	0.231095875901515	0.184396703098143
"out"	0.153943674726071	0.114020979860294	0.110077875989879	0.134618761340167	0.21483310353673	0.285981146428124	0.266865580363141
"than"	0.219919535322958	0.291653664274226	0.231656425590642	0.301847036296897	0.152307051014846	0.164655811579829	0.235360616014715
"now"	0.210864025044954	0.189634892820279	0.171688627476752	0.198165505823725	0.356451940445271	0.258057061423358	0.259452647575276
"upon"	0.112547056312337	0.0864159005256967	0.0616107514868728	0.0819418547287975	0.0261861245604472	0.274426352633049	0.0509639129165721
"little"	0.131951721193775	0.211238867951703	0.155259093746919	0.133782619965384	0.182768461217815	0.192579896584596	0.203392343367047
"such"	0.297538194848708	0.253246597373917	0.319554431045247	0.30017475354733	0.137343551266019	0.155989716233522	0.106097600526318
"up"	0.117721633614054	0.105619433975852	0.0911839122005717	0.092811692600985	0.206282532251686	0.273463453150126	0.285861220632045
"man"	0.113840700637767	0.150027605079335	0.119114119541287	0.0995008235992542	0.0753519094494501	0.177173504857828	0.188103169492075
"am"	0.267784375363837	0.164430255166951	0.266158446423291	0.228266595315936	0.20361047872511	0.371679200408269	0.0315049643484264
"then"	0.138419942820921	0.0840154588444274	0.143758420136037	0.128765771716682	0.263464477720418	0.169470308994444	0.170497454120896
"has"	0.119015277939483	0.120022084063468	0.181546347714652	0.178098112828917	0.131999444212866	0.143472022955524	0.129263015488396
"their"	0.307887349452142	0.35166470630596	0.363092695429304	0.41472612189269	0.185440514744391	0.155989716233522	0.21034196785567
"know"	0.191459360163517	0.151227825919969	0.194689974698518	0.193984798949806	0.121845640811877	0.269611855218434	0.215438359147327
"much"	0.219919535322958	0.246045272330109	0.269444353169257	0.242480998687258	0.110088605294941	0.159841314165214	0.139919106370952
"mrs"	0.226387756950104	0.349264264624691	0.281766503466632	0.443154928635334	0.134137087034127	0.377456597305807	0.140845722969436
"into"	0.164292829329504	0.117621642382198	0.115828212795321	0.0961562581001196	0.141084426203226	0.227244277969823	0.192736252484491
"some"	0.196633937465233	0.163230034326316	0.173331580849735	0.179770395578484	0.198800782377273	0.150212319335985	0.173277303916345
"must"	0.245792421831542	0.273650351664706	0.253014819439424	0.236628009063773	0.165667318647727	0.0991786467410667	0.184396703098143
"own"	0.174641983932937	0.195635997023452	0.15033023362797	0.227430453941152	0.109554194589626	0.112659239501988	0.150575197253508
"think"	0.175935628258367	0.178832905254567	0.173331580849735	0.175589688704566	0.117570355169355	0.111696340019065	0.184396703098143
"well"	0.205689447743237	0.174032021892028	0.17579601090921	0.184787243827186	0.172614657816825	0.15213811830183	0.183933394798901
"good"	0.150062741749783	0.204037542907895	0.151151710314461	0.12374892346798	0.104744498241789	0.158878414682291	0.153818355348199
"did"	0.209570380719525	0.194435776182818	0.223441658725725	0.206526919571561	0.210557817894208	0.133843028126294	0.0898818100528635
"how"	0.203102159092379	0.150027605079335	0.189761114579568	0.197329364448941	0.147497354667009	0.14539782192137	0.108877450321768
"say"	0.146181808773496	0.111620538179025	0.131436269838662	0.133782619965384	0.106347730357735	0.177173504857828	0.137139256575503
"about"	0.148769097424354	0.116421421541564	0.10022015575198	0.120404357968845	0.116501533758724	0.186802499687058	0.251576406488169
"never"	0.203102159092379	0.18483400945774	0.18072487102816	0.15803071983411	0.157116747362683	0.207986288311363	0.17188737901862
"can"	0.173348339607508	0.12842362994791	0.173331580849735	0.174753547329783	0.122914462222507	0.134805927609217	0.162621213033789
"may"	0.113840700637767	0.104419213135217	0.158545000492886	0.146324740587138	0.0780239629760263	0.128065631228756	0.101464517533903
"see"	0.113840700637767	0.147627163398065	0.121578549600762	0.144652457837571	0.147497354667009	0.137694626057986	0.231190841321541
"lady"	0.0452775513900208	0.256847259895821	0.15033023362797	0.115387509720143	0.0459593206571114	0.087623852945991	0.0134359406780054
"time"	0.191459360163517	0.181233346935836	0.164295337298327	0.199837788573292	0.121845640811877	0.166581610545675	0.128799707189155
"before"	0.187578427187229	0.139225617513623	0.186475207833602	0.16722827495673	0.152841461720161	0.155989716233522	0.170960762420137
